1,2,50,,RS HARAPAN SEHATI,,JL. RAYA TEGAR BERIMAN KP. PONDOK MANGGIS RT. 01 RW. 04 KEL. BOJONG BARU KEC. BOMORE ...,"[{""type"": ""phone"", ""phone_number"": ""2187972380""}]"
2,2,46,,RS IBU DAN ANAK ASSALAM,,"JL. RAYA BOGOR KM 46,7 CIBINONG BOGOR","[{""type"": ""phone"", ""phone_number"": ""218753724""}]"
3,2,51,,RS IBU DAN ANAK CITRA INSANI,,JL. RAYA PARUNG BOGOR NO.242 BOGOR,"[{""type"": ""phone"", ""phone_number"": ""02518611507""}]"
4,2,47,,RS IBU DAN ANAK KENARI GRAHA MEDIKA,,GRIYA KENARI MAS BLOK B2 CILEUNGSI BOGOR,"[{""type"": ""phone"", ""phone_number"": ""0218230426""}]"
5,2,46,,RS IBU DAN ANAK MELANIA,,JL. RAYA BOGOR KM 43 KELURAHAN PABUARAN KECAMATAN CIBINONG KABUPATEN BOGOR,"[{""type"": ""phone"", ""phone_number"": ""0218752192""}]"
6,2,49,,RS IBU DAN ANAK PERMATA PERTIWI,,JL. MAYOR OKING NO 92A CITEUREUP BOGOR,"[{""type"": ""phone"", ""phone_number"": ""218755433""}]"
7,2,39,,RS PARU DR. M. GOENAWAN PARTOWIDIGDO,,"JL. RAYA PUNCAK KM.83, PO BOX 28 CISARUA BOGOR 16750","[{""type"": ""phone"", ""phone_number"": ""02518253630""}]"
8,2,51,,RS SENTOSA,,JL. RAYA KEMANG NO. 18 DESA PONDOK UDIK KEC. KEMANG KAB. BOGOR,"[{""type"": ""phone"", ""phone_number"": ""02517541900""}]"
9,2,45,,RS TK IV JONGGOL,,,
10,2,49,,RS UMUM ANNISA BOGOR,,"JL. RAYA KARANGGAN NO. 02 PUSPASARI, CITEUREUP BOGOR","[{""type"": ""phone"", ""phone_number"": ""0218756780""}]"
11,2,30,,RS UMUM ASYSYIFAA,,JL. RAYA LEUWILIANG CIBEBER 1 KAB BOGOR 16640,"[{""type"": ""phone"", ""phone_number"": ""02518641142""}]"
12,2,46,,RS UMUM BINA HUSADA,,JL. MAYOR OKING JAYA ATMAJA KM1 NO.101 CIBINONG - BOGOR,"[{""type"": ""phone"", ""phone_number"": ""02187911000""}]"
13,2,46,,RS UMUM CITAMA,,JL. RAYA PABUARAN NO. 52 BOGOR,"[{""type"": ""phone"", ""phone_number"": ""02187985587""}{""type"": ""phone"", ""phone_number"": ""02187985587""}]"
14,2,38,,RS UMUM DAERAH CIAWI,,JL. RAYA PUNCAK 479 CIAWI BOGOR,"[{""type"": ""phone"", ""phone_number"": ""02518240797""}]"
15,2,46,,RS UMUM DAERAH CIBINONG,,JL. KSR DADI KUSMAYADI NO. 27 CIBINONG BOGOR,"[{""type"": ""phone"", ""phone_number"": ""0218753487""}]"
